,sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),species,sepal_ratio_cm,petal_ratio_cm,sepal length (inch),sepal width (inch),petal length (inch),petal width (inch),incoded_species
0,5.1,3.5,1.4,0.2,setosa,0.6862745098039216,0.14285714285714288,2.0078751,1.3779535,0.5511814,0.07874020000000001,0
1,4.9,3.0,1.4,0.2,setosa,0.6122448979591836,0.14285714285714288,1.9291349000000002,1.181103,0.5511814,0.07874020000000001,0
2,4.7,3.2,1.3,0.2,setosa,0.6808510638297872,0.15384615384615385,1.8503947000000003,1.2598432000000002,0.5118113000000001,0.07874020000000001,0
3,4.6,3.1,1.5,0.2,setosa,0.673913043478261,0.13333333333333333,1.8110245999999999,1.2204731000000002,0.5905515,0.07874020000000001,0
4,5.0,3.6,1.4,0.2,setosa,0.72,0.14285714285714288,1.9685050000000002,1.4173236,0.5511814,0.07874020000000001,0
5,5.4,3.9,1.7,0.4,setosa,0.7222222222222222,0.23529411764705885,2.1259854000000002,1.5354339000000001,0.6692917,0.15748040000000002,0
6,4.6,3.4,1.4,0.3,setosa,0.7391304347826088,0.2142857142857143,1.8110245999999999,1.3385834,0.5511814,0.1181103,0
7,5.0,3.4,1.5,0.2,setosa,0.6799999999999999,0.13333333333333333,1.9685050000000002,1.3385834,0.5905515,0.07874020000000001,0
8,4.4,2.9,1.4,0.2,setosa,0.6590909090909091,0.14285714285714288,1.7322844000000002,1.1417329,0.5511814,0.07874020000000001,0
9,4.9,3.1,1.5,0.1,setosa,0.6326530612244897,0.06666666666666667,1.9291349000000002,1.2204731000000002,0.5905515,0.039370100000000005,0
10,5.4,3.7,1.5,0.2,setosa,0.6851851851851851,0.13333333333333333,2.1259854000000002,1.4566937000000002,0.5905515,0.07874020000000001,0
11,4.8,3.4,1.6,0.2,setosa,0.7083333333333334,0.125,1.8897648,1.3385834,0.6299216000000001,0.07874020000000001,0
12,4.8,3.0,1.4,0.1,setosa,0.625,0.07142857142857144,1.8897648,1.181103,0.5511814,0.039370100000000005,0
13,4.3,3.0,1.1,0.1,setosa,0.6976744186046512,0.09090909090909091,1.6929143,1.181103,0.43307110000000004,0.039370100000000005,0
14,5.8,4.0,1.2,0.2,setosa,0.6896551724137931,0.16666666666666669,2.2834658,1.574804,0.4724412,0.07874020000000001,0
15,5.7,4.4,1.5,0.4,setosa,0.7719298245614036,0.26666666666666666,2.2440957000000004,1.7322844000000002,0.5905515,0.15748040000000002,0
16,5.4,3.9,1.3,0.4,setosa,0.7222222222222222,0.3076923076923077,2.1259854000000002,1.5354339000000001,0.5118113000000001,0.15748040000000002,0
17,5.1,3.5,1.4,0.3,setosa,0.6862745098039216,0.2142857142857143,2.0078751,1.3779535,0.5511814,0.1181103,0
18,5.7,3.8,1.7,0.3,setosa,0.6666666666666666,0.17647058823529413,2.2440957000000004,1.4960638,0.6692917,0.1181103,0
19,5.1,3.8,1.5,0.3,setosa,0.7450980392156863,0.19999999999999998,2.0078751,1.4960638,0.5905515,0.1181103,0
20,5.4,3.4,1.7,0.2,setosa,0.6296296296296295,0.11764705882352942,2.1259854000000002,1.3385834,0.6692917,0.07874020000000001,0
21,5.1,3.7,1.5,0.4,setosa,0.7254901960784315,0.26666666666666666,2.0078751,1.4566937000000002,0.5905515,0.15748040000000002,0
22,4.6,3.6,1.0,0.2,setosa,0.782608695652174,0.2,1.8110245999999999,1.4173236,0.393701,0.07874020000000001,0
23,5.1,3.3,1.7,0.5,setosa,0.6470588235294118,0.29411764705882354,2.0078751,1.2992133,0.6692917,0.1968505,0
24,4.8,3.4,1.9,0.2,setosa,0.7083333333333334,0.10526315789473685,1.8897648,1.3385834,0.7480319,0.07874020000000001,0
25,5.0,3.0,1.6,0.2,setosa,0.6,0.125,1.9685050000000002,1.181103,0.6299216000000001,0.07874020000000001,0
